year,county,total_incidents,avg_monthly_rent
2018,Waterford,5710.0,758.9536842105264
2018,Westmeath,4266.0,744.6257142857143
2018,Wexford,4603.0,720.3355555555556
2018,Wicklow,4966.0,1212.1527272727274
2019,Cavan,5377.0,629.5688888888889
2019,Clare,3336.0,734.4457142857143
2019,Cork,19075.0,1030.9653658536586
2019,Donegal,5213.0,543.36
2019,Dublin,10432.0,1732.742075471698
2019,Galway,7972.0,1051.3703846153846
2019,Kerry,5506.0,709.895
2019,Kildare,7909.0,1179.11125
2019,Kilkenny,5025.0,880.6883333333334
2019,Laois,6324.0,817.674
2019,Limerick,9853.0,952.6541666666667
2019,Louth,6796.0,1020.7850000000001
2019,Mayo,2868.0,613.6745454545454
2019,Meath,5744.0,1190.25875
2019,Roscommon,3286.0,625.5
2019,Sligo,3217.0,829.915
2019,Tipperary,5043.0,683.5491666666667
2019,Waterford,5832.0,823.5200000000001
2019,Westmeath,4777.0,790.2157142857143
2019,Wexford,4379.0,758.0633333333333
2019,Wicklow,5672.0,1265.851818181818
2020,Cavan,4359.0,660.3622222222223
2020,Clare,2930.0,773.51
2020,Cork,16490.0,1037.948918918919
2020,Donegal,4132.0,559.0688888888889
2020,Dublin,5281.0,1780.5284076433122
2020,Galway,7002.0,1084.0092307692307
2020,Kerry,4195.0,749.2674999999999
2020,Kildare,5970.0,1226.09125
2020,Kilkenny,4231.0,880.4316666666667
2020,Laois,4993.0,849.336
2020,Limerick,9133.0,998.4966666666666
2020,Louth,6193.0,1059.35
2020,Mayo,2479.0,646.7236363636364
2020,Meath,5263.0,1233.625625
2020,Roscommon,2639.0,656.4342857142857
2020,Sligo,2726.0,773.08
2020,Tipperary,4648.0,710.665
2020,Waterford,5062.0,837.915
2020,Westmeath,2986.0,833.8771428571429
2020,Wexford,3862.0,783.6488888888889
2020,Wicklow,4505.0,1307.5872727272726
2021,Cavan,4542.0,688.531111111111
2021,Clare,2932.0,817.4
2021,Cork,17063.0,1071.7920000000001
2021,Donegal,4312.0,585.9877777777779
2021,Dublin,6079.0,1790.1227152317879
2021,Galway,7517.0,1114.892
2021,Kerry,4343.0,788.2262499999999
2021,Kildare,6760.0,1265.915
2021,Kilkenny,4169.0,882.4250000000001
2021,Laois,4963.0,877.4639999999999
2021,Limerick,9761.0,1044.5849999999998
2021,Louth,6073.0,1100.2975000000001
2021,Mayo,2890.0,680.1745454545454
2021,Meath,4942.0,1270.98875
2021,Roscommon,2784.0,699.4242857142857
2021,Sligo,2658.0,810.155
2021,Tipperary,4888.0,739.64
2021,Waterford,5533.0,910.3344444444444
2021,Westmeath,3225.0,873.0942857142857
2021,Wexford,4292.0,822.7066666666666
2021,Wicklow,4256.0,1355.5936363636365
2022,Cavan,4790.0,784.3222222222222
2022,Clare,2993.0,895.5071428571429
2022,Cork,19707.0,1125.1035294117646
2022,Donegal,4595.0,661.5711111111111
2022,Dublin,8877.0,1868.5346721311475
2022,Galway,8082.0,1187.3104347826086
2022,Kerry,5095.0,866.06375
2022,Kildare,8094.0,1322.88125
2022,Kilkenny,4509.0,929.1216666666666
2022,Laois,6175.0,934.24
2022,Limerick,9802.0,1143.5991666666666
2022,Louth,6272.0,1151.755
