year,county,avg_monthly_rent
2023,Cork,1193.8233333333333
2023,Donegal,737.798888888889
2023,Dublin,1966.001680672269
2023,Galway,1226.9673684210527
2023,Kerry,942.76
2023,Kildare,1415.305625
2023,Kilkenny,1048.2559999999999
2023,Laois,996.72
2023,Leitrim,765.4033333333333
2023,Limerick,1257.815
2023,Longford,857.866
2023,Louth,1202.885
2023,Mayo,839.2854545454545
2023,Meath,1413.88875
2023,Monaghan,851.1299999999999
2023,Offaly,950.2616666666667
2023,Roscommon,882.1485714285715
2023,Sligo,1005.145
2023,Tipperary,875.5191666666666
2023,Waterford,1121.5664285714286
2023,Westmeath,1030.1657142857143
2023,Wexford,990.8824999999999
2023,Wicklow,1470.204
2024,Carlow,1215.2233333333334
2024,Cavan,964.9877777777778
2024,Clare,1142.5985714285714
2024,Cork,1306.8348387096773
2024,Donegal,816.7855555555556
2024,Dublin,2081.4297457627117
2024,Galway,1360.9794444444444
2024,Kerry,1055.29875
2024,Kildare,1508.63875
2024,Kilkenny,1128.4233333333334
2024,Laois,1109.8700000000001
2024,Leitrim,895.3699999999999
2024,Limerick,1408.3616666666667
2024,Longford,1019.395
2024,Louth,1298.53
2024,Mayo,949.21
2024,Meath,1518.45
2024,Monaghan,945.896
2024,Offaly,1052.2066666666667
2024,Roscommon,993.3614285714285
2024,Sligo,1111.80875
2024,Tipperary,973.7400000000001
2024,Waterford,1226.0144444444445
2024,Westmeath,1118.8885714285714
2024,Wexford,1092.02
2024,Wicklow,1678.6169999999997
